"proteinSearched","gene","EntrezSummary","GeneCardsSummary","UniProtKB_Summary","todaysDate"
"pbmc","CPE","This gene encodes a member of the M14 family of metallocarboxypeptidases. The encoded preproprotein is proteolytically processed to generate the mature peptidase. This peripheral membrane protein cleaves C-terminal amino acid residues and is involved in the biosynthesis of peptide hormones and neurotransmitters, including insulin. This protein may also function independently of its peptidase activity, as a neurotrophic factor that promotes neuronal survival, and as a sorting receptor that binds to regulated secretory pathway proteins, including prohormones. Mutations in this gene are implicated in type 2 diabetes. [provided by RefSeq, Nov 2015]","                                            CPE (Carboxypeptidase E) is a Protein Coding gene.                                            Diseases associated with CPE include Hyperproinsulinemia and Insulinoma.                                            Among its related pathways are Metabolism of proteins and Allograft rejection.                                            Gene Ontology (GO) annotations related to this gene include cell adhesion molecule binding and carboxypeptidase activity.                                            An important paralog of this gene is CPN1.","Sorting receptor that directs prohormones to the regulated secretory pathway. Acts also as a prohormone processing enzyme in neuro/endocrine cells, removing dibasic residues from the C-terminal end of peptide hormone precursors after initial endoprotease cleavage.
                         CBPE_HUMAN,P16870
                         ","Fri Aug 14 09:28:08 2020"
"pbmc","RHAG","The protein encoded by this gene is erythrocyte-specific and is thought to be part of a membrane channel that transports ammonium and carbon dioxide across the blood cell membrane. The encoded protein appears to interact with Rh blood group antigens and Rh30 polypeptides. Defects in this gene are a cause of regulator type Rh-null hemolytic anemia (RHN), or Rh-deficiency syndrome.[provided by RefSeq, Mar 2009]","                                            RHAG (Rh Associated Glycoprotein) is a Protein Coding gene.                                            Diseases associated with RHAG include Overhydrated Hereditary Stomatocytosis and Rh-Null, Regulator Type.                                            Among its related pathways are O2/CO2 exchange in erythrocytes and Metabolism.                                            Gene Ontology (GO) annotations related to this gene include ankyrin binding and ammonium transmembrane transporter activity.                                            An important paralog of this gene is RHCG.","Associated with rhesus blood group antigen expression (PubMed:19744193). May be part of an oligomeric complex which is likely to have a transport or channel function in the erythrocyte membrane (PubMed:11062476, PubMed:11861637). Involved in ammonia transport across the erythrocyte membrane (PubMed:21849667, PubMed:22012326). Seems to act in monovalent cation transport (PubMed:18931342, PubMed:21849667).
                         RHAG_HUMAN,Q02094
                         ","Fri Aug 14 09:28:09 2020"
"pbmc","SLC8A2","                                            SLC8A2 (Solute Carrier Family 8 Member A2) is a Protein Coding gene.                                            Diseases associated with SLC8A2 include Ischemia and Schnyder Corneal Dystrophy.                                            Among its related pathways are Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include calmodulin binding and calcium:sodium antiporter activity.                                            An important paralog of this gene is SLC8A3.","                                            SLC8A2 (Solute Carrier Family 8 Member A2) is a Protein Coding gene.                                            Diseases associated with SLC8A2 include Ischemia and Schnyder Corneal Dystrophy.                                            Among its related pathways are Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include calmodulin binding and calcium:sodium antiporter activity.                                            An important paralog of this gene is SLC8A3.","Mediates the electrogenic exchange of Ca(2+) against Na(+) ions across the cell membrane, and thereby contributes to the regulation of cytoplasmic Ca(2+) levels and Ca(2+)-dependent cellular processes. Contributes to cellular Ca(2+) homeostasis in excitable cells. Contributes to the rapid decrease of cytoplasmic Ca(2+) levels back to baseline after neuronal activation, and thereby contributes to modulate synaptic plasticity, learning and memory. Plays a role in regulating urinary Ca(2+) and Na(+) excretion.
                         NAC2_HUMAN,Q9UPR5
                         ","Fri Aug 14 09:28:10 2020"
"pbmc","NPPB","This gene is a member of the natriuretic peptide family and encodes a secreted protein which functions as a cardiac hormone. The protein undergoes two cleavage events, one within the cell and a second after secretion into the blood. The protein's biological actions include natriuresis, diuresis, vasorelaxation, inhibition of renin and aldosterone secretion, and a key role in cardiovascular homeostasis. A high concentration of this protein in the bloodstream is indicative of heart failure. The protein also acts as an antimicrobial peptide with antibacterial and antifungal activity. Mutations in this gene have been associated with postmenopausal osteoporosis. [provided by RefSeq, Nov 2014]","                                            NPPB (Natriuretic Peptide B) is a Protein Coding gene.                                            Diseases associated with NPPB include Constrictive Pericarditis and Systolic Heart Failure.                                            Among its related pathways are Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins. and MicroRNAs in cardiomyocyte hypertrophy.                                            Gene Ontology (GO) annotations related to this gene include signaling receptor binding and diuretic hormone activity.                                            An important paralog of this gene is NPPA.","Cardiac hormone which may function as a paracrine antifibrotic factor in the heart. Also plays a key role in cardiovascular homeostasis through natriuresis, diuresis, vasorelaxation, and inhibition of renin and aldosterone secretion. Specifically binds and stimulates the cGMP production of the NPR1 receptor. Binds the clearance receptor NPR3.
                         ANFB_HUMAN,P16860
                         ","Fri Aug 14 09:28:11 2020"
"pbmc","CEACAM8","                                            CEACAM8 (CEA Cell Adhesion Molecule 8) is a Protein Coding gene.                                            Diseases associated with CEACAM8 include Hemoglobinuria and Paroxysmal Nocturnal Hemoglobinuria.                                            Among its related pathways are Degradation of the extracellular matrix and Cell surface interactions at the vascular wall.                                                                                        An important paralog of this gene is CEACAM6.","                                            CEACAM8 (CEA Cell Adhesion Molecule 8) is a Protein Coding gene.                                            Diseases associated with CEACAM8 include Hemoglobinuria and Paroxysmal Nocturnal Hemoglobinuria.                                            Among its related pathways are Degradation of the extracellular matrix and Cell surface interactions at the vascular wall.                                                                                        An important paralog of this gene is CEACAM6.","Cell surface glycoprotein that plays a role in cell adhesion in a calcium-independent manner (PubMed:8776764, PubMed:2022629, PubMed:11590190). Mediates heterophilic cell adhesion with other carcinoembryonic antigen-related cell adhesion molecules, such as CEACAM6 (PubMed:8776764, PubMed:2022629, PubMed:11590190). Heterophilic interaction with CEACAM8 occurs in activated neutrophils (PubMed:8776764).
                         CEAM8_HUMAN,P31997
                         ","Fri Aug 14 09:28:11 2020"
"pbmc","CA1","Carbonic anhydrases (CAs) are a large family of zinc metalloenzymes that catalyze the reversible hydration of carbon dioxide. They participate in a variety of biological processes, including respiration, calcification, acid-base balance, bone resorption, and the formation of aqueous humor, cerebrospinal fluid, saliva and gastric acid. They show extensive diversity in tissue distribution and in their subcellular localization. This CA1 gene is closely linked to the CA2 and CA3 genes on chromosome 8. It encodes a cytosolic protein that is found at the highest level in erythrocytes. Allelic variants of this gene have been described in some populations. Alternative splicing and the use of alternative promoters results in multiple transcript variants. [provided by RefSeq, Nov 2016]","                                            CA1 (Carbonic Anhydrase 1) is a Protein Coding gene.                                            Diseases associated with CA1 include Renal Tubular Acidosis and Transient Global Amnesia.                                            Among its related pathways are C-MYB transcription factor network and O2/CO2 exchange in erythrocytes.                                            Gene Ontology (GO) annotations related to this gene include carbonate dehydratase activity and hydro-lyase activity.                                            An important paralog of this gene is CA2.","Reversible hydration of carbon dioxide. Can hydrates cyanamide to urea.
                         CAH1_HUMAN,P00915
                         ","Fri Aug 14 09:28:12 2020"
"pbmc","CYP19A1","This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This protein localizes to the endoplasmic reticulum and catalyzes the last steps of estrogen biosynthesis. Mutations in this gene can result in either increased or decreased aromatase activity; the associated phenotypes suggest that estrogen functions both as a sex steroid hormone and in growth or differentiation. Alternative promoter use and alternative splicing results in multiple transcript variants that have different tissue specificities. [provided by RefSeq, Dec 2016]","                                            CYP19A1 (Cytochrome P450 Family 19 Subfamily A Member 1) is a Protein Coding gene.                                            Diseases associated with CYP19A1 include Aromatase Deficiency and Aromatase Excess Syndrome.                                            Among its related pathways are Cytochrome P450 - arranged by substrate type and Androstenedione and testosterone biosynthesis and metabolism p.1.                                            Gene Ontology (GO) annotations related to this gene include iron ion binding and electron transfer activity.                                            An important paralog of this gene is CYP4F3.","A cytochrome P450 monooxygenase that catalyzes the conversion of C19 androgens, androst-4-ene-3,17-dione (androstenedione) and testosterone to the C18 estrogens, estrone and estradiol, respectively (PubMed:27702664, PubMed:2848247). Catalyzes three successive oxidations of C19 androgens: two conventional oxidations at C19 yielding 19-hydroxy and 19-oxo/19-aldehyde derivatives, followed by a third oxidative aromatization step that involves C1-beta hydrogen abstraction combined with cleavage of the C10-C19 bond to yield a phenolic A ring and formic acid (PubMed:20385561). Alternatively, the third oxidative reaction yields a 19-norsteroid and formic acid. Converts dihydrotestosterone to delta1,10-dehydro 19-nordihydrotestosterone and may play a role in homeostasis of this potent androgen (PubMed:22773874). Also displays 2-hydroxylase activity toward estrone (PubMed:22773874). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (CPR; NADPH-ferrihemoprotein reductase) (PubMed:20385561, PubMed:22773874).
                         CP19A_HUMAN,P11511
                         ","Fri Aug 14 09:28:13 2020"
"pbmc","SELENBP1","This gene encodes a member of the selenium-binding protein family. Selenium is an essential nutrient that exhibits potent anticarcinogenic properties, and deficiency of selenium may cause certain neurologic diseases. The effects of selenium in preventing cancer and neurologic diseases may be mediated by selenium-binding proteins, and decreased expression of this gene may be associated with several types of cancer. The encoded protein may play a selenium-dependent role in ubiquitination/deubiquitination-mediated protein degradation. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Apr 2012]","                                            SELENBP1 (Selenium Binding Protein 1) is a Protein Coding gene.                                            Diseases associated with SELENBP1 include Extraoral Halitosis Due To Methanethiol Oxidase Deficiency and Posteroinferior Myocardial Infarction.                                            Among its related pathways are IL1 and megakaryocytes in obesity and Metabolism.                                            Gene Ontology (GO) annotations related to this gene include selenium binding.                                            ","Catalyzes the oxidation of methanethiol, an organosulfur compound known to be produced in substantial amounts by gut bacteria (PubMed:29255262). Selenium-binding protein which may be involved in the sensing of reactive xenobiotics in the cytoplasm. May be involved in intra-Golgi protein transport (By similarity).
                         SBP1_HUMAN,Q13228
                         ","Fri Aug 14 09:28:14 2020"
"pbmc","TIMP4","This gene belongs to the TIMP gene family. The proteins encoded by this gene family are inhibitors of the matrix metalloproteinases, a group of peptidases involved in degradation of the extracellular matrix. The secreted, netrin domain-containing protein encoded by this gene is involved in regulation of platelet aggregation and recruitment and may play role in hormonal regulation and endometrial tissue remodeling. [provided by RefSeq, Jul 2008]","                                            TIMP4 (TIMP Metallopeptidase Inhibitor 4) is a Protein Coding gene.                                            Diseases associated with TIMP4 include Corneal Neovascularization and Rheumatic Heart Disease.                                            Among its related pathways are NF-KappaB Family Pathway and Activation of cAMP-Dependent PKA.                                            Gene Ontology (GO) annotations related to this gene include protease binding and metalloendopeptidase inhibitor activity.                                            An important paralog of this gene is TIMP2.","Complexes with metalloproteinases (such as collagenases) and irreversibly inactivates them by binding to their catalytic zinc cofactor. Known to act on MMP-1, MMP-2, MMP-3, MMP-7 and MMP-9.
                         TIMP4_HUMAN,Q99727
                         ","Fri Aug 14 09:28:14 2020"
"pbmc","ALAS2","The product of this gene specifies an erythroid-specific mitochondrially located enzyme. The encoded protein catalyzes the first step in the heme biosynthetic pathway. Defects in this gene cause X-linked pyridoxine-responsive sideroblastic anemia. Alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Jul 2008]","                                            ALAS2 (5'-Aminolevulinate Synthase 2) is a Protein Coding gene.                                            Diseases associated with ALAS2 include Anemia, Sideroblastic, 1 and Protoporphyria, Erythropoietic, X-Linked.                                            Among its related pathways are Porphyrin and chlorophyll metabolism and Metabolism.                                            Gene Ontology (GO) annotations related to this gene include pyridoxal phosphate binding and glycine binding.                                            An important paralog of this gene is ALAS1.","no summary","Fri Aug 14 09:28:15 2020"
"pbmc","LRRC38","                                            LRRC38 (Leucine Rich Repeat Containing 38) is a Protein Coding gene.                                            Diseases associated with LRRC38 include Lymph Node Carcinoma.                                                                                                                                    An important paralog of this gene is SLIT1.","                                            LRRC38 (Leucine Rich Repeat Containing 38) is a Protein Coding gene.                                            Diseases associated with LRRC38 include Lymph Node Carcinoma.                                                                                                                                    An important paralog of this gene is SLIT1.","Auxiliary protein of the large-conductance, voltage and calcium-activated potassium channel (BK alpha). Modulates gating properties by producing a marked shift in the BK channel's voltage dependence of activation in the hyperpolarizing direction, and in the absence of calcium.
                         LRC38_HUMAN,Q5VT99
                         ","Fri Aug 14 09:28:16 2020"
"pbmc","PCOLCE2","                                            PCOLCE2 (Procollagen C-Endopeptidase Enhancer 2) is a Protein Coding gene.                                            Diseases associated with PCOLCE2 include Fetal Akinesia Deformation Sequence 1.                                            Among its related pathways are Degradation of the extracellular matrix and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include heparin binding and metalloendopeptidase inhibitor activity.                                            An important paralog of this gene is PCOLCE.","                                            PCOLCE2 (Procollagen C-Endopeptidase Enhancer 2) is a Protein Coding gene.                                            Diseases associated with PCOLCE2 include Fetal Akinesia Deformation Sequence 1.                                            Among its related pathways are Degradation of the extracellular matrix and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include heparin binding and metalloendopeptidase inhibitor activity.                                            An important paralog of this gene is PCOLCE.","Binds to the C-terminal propeptide of types I and II procollagens and may enhance the cleavage of that propeptide by BMP1.
                         PCOC2_HUMAN,Q9UKZ9
                         ","Fri Aug 14 09:28:17 2020"
"pbmc","DEFA4","Defensins are a family of antimicrobial and cytotoxic peptides thought to be involved in host defense. They are abundant in the granules of neutrophils and also found in the epithelia of mucosal surfaces such as those of the intestine, respiratory tract, urinary tract, and vagina. Members of the defensin family are highly similar in protein sequence and distinguished by a conserved cysteine motif. Several alpha defensin genes are clustered on chromosome 8. This gene differs from other genes of this family by an extra 83-base segment that is apparently the result of a recent duplication within the coding region. The protein encoded by this gene, defensin, alpha 4, is found in the neutrophils; it exhibits corticostatic activity and inhibits corticotropin stimulated corticosterone production. [provided by RefSeq, Oct 2014]","                                            DEFA4 (Defensin Alpha 4) is a Protein Coding gene.                                                                                        Among its related pathways are Transcriptional misregulation in cancer and Defensins.                                                                                        An important paralog of this gene is DEFA6.","Has antimicrobial activity against Gram-negative bacteria, and to a lesser extent also against Gram-positive bacteria and fungi. Protects blood cells against infection with HIV-1 (in vitro). Inhibits corticotropin (ACTH)-stimulated corticosterone production.
                         DEF4_HUMAN,P12838
                         ","Fri Aug 14 09:28:18 2020"
"pbmc","EPB42","Erythrocyte membrane protein band 4.2 is an ATP-binding protein which may regulate the association of protein 3 with ankyrin. It probably has a role in erythrocyte shape and mechanical property regulation. Mutations in the EPB42 gene are associated with recessive spherocytic elliptocytosis and recessively transmitted hereditary hemolytic anemia. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]","                                            EPB42 (Erythrocyte Membrane Protein Band 4.2) is a Protein Coding gene.                                            Diseases associated with EPB42 include Spherocytosis, Type 5 and Hereditary Spherocytosis.                                                                                        Gene Ontology (GO) annotations related to this gene include structural constituent of cytoskeleton and protein-glutamine gamma-glutamyltransferase activity.                                            An important paralog of this gene is TGM5.","Probably plays an important role in the regulation of erythrocyte shape and mechanical properties.
                         EPB42_HUMAN,P16452
                         ","Fri Aug 14 09:28:19 2020"
