"EnsemblGene","gene","EntrezSummary","GeneCardsSummary","UniProtKB_Summary","convalescent","healthy1","healthy2","healthy3","healthy4","healthy5","healthy6","healthy7","healthy8","healthy9","healthy10","healthy11","healthy12","healthy13","healthy14","healthy15","healthy16","healthy17","moderate1","moderate2","moderate3","moderate4","severe1","severe2","severe3","severe4","severe5","severe6","severe7","severe8","ICU1","ICU2","ICU3","ICU4","healthy_mean","moderate_mean","severe_mean","ICU_mean","mod_health_foldChange","sevr_health_foldChange","ICU_health_foldChange"
"ENSG00000124102","PI3","This gene encodes an elastase-specific inhibitor that functions as an antimicrobial peptide against Gram-positive and Gram-negative bacteria, and fungal pathogens. The protein contains a WAP-type four-disulfide core (WFDC) domain, and is thus a member of the WFDC domain family. Most WFDC gene members are localized to chromosome 20q12-q13 in two clusters: centromeric and telomeric. This gene belongs to the centromeric cluster. Expression of this gene is upgulated by bacterial lipopolysaccharides and cytokines. [provided by RefSeq, Oct 2014]","                                            PI3 (Peptidase Inhibitor 3) is a Protein Coding gene.                                            Diseases associated with PI3 include Pustular Psoriasis and Impetigo Herpetiformis.                                            Among its related pathways are Keratinization and Innate Immune System.                                            Gene Ontology (GO) annotations related to this gene include serine-type endopeptidase inhibitor activity and peptidase inhibitor activity.                                            An important paralog of this gene is SLPI.","Neutrophil and pancreatic elastase-specific inhibitor of skin. It may prevent elastase-mediated tissue proteolysis. Has been shown to inhibit the alpha-4-beta-2/CHRNA2-CHRNB2 nicotinic acetylcholine receptor and to produce a weak inhibition on Kv11.1/KCNH2/ERG1 and on the transient receptor potential cation channel subfamily V member 1 (TRPV1) (PubMed:29483648).
                         ELAF_HUMAN,P19957
                         ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,1,0,0,1,2,3,6,8,2,0,0.0588235294117647,0.25,1.375,4,4.25,23.375,68
"ENSG00000132872","SYT4","                                            SYT4 (Synaptotagmin 4) is a Protein Coding gene.                                                                                                                                    Gene Ontology (GO) annotations related to this gene include calcium ion binding and syntaxin binding.                                            An important paralog of this gene is SYT11.","                                            SYT4 (Synaptotagmin 4) is a Protein Coding gene.                                                                                                                                    Gene Ontology (GO) annotations related to this gene include calcium ion binding and syntaxin binding.                                            An important paralog of this gene is SYT11.","Synaptotagmin family member which does not bind Ca(2+) (PubMed:23999003) (By similarity). Involved in neuronal dense core vesicles (DCVs) mobility through its interaction with KIF1A. Upon increased neuronal activity, phosphorylation by MAPK8/JNK1 destabilizes the interaction with KIF1A and captures DCVs to synapses (By similarity). Plays a role in dendrite formation by melanocytes (PubMed:23999003).
                         SYT4_HUMAN,Q9H2B2
                         ",1,1,0,0,1,0,1,0,0,0,0,0,6,4,3,2,3,1,1,0,0,5,0,0,0,0,0,2,1,1,0,0,0,0,1.29411764705882,1.5,0.5,0,1.15909090909091,0.386363636363636,-0.294117647058824
"ENSG00000133488","SEC14L4","The protein encoded by this gene is highly similar to the protein encoded by the Saccharomyces cerevisiae SEC14 gene. The SEC14 protein is a phophatidylinositol transfer protein that is essential for biogenesis of Golgi-derived transport vesicles, and thus is required for the export of yeast secretory proteins from the Golgi complex. The specific function of this protein has not yet been determined. Alternative splicing results in multiple transcript variants. [provided by RefSeq, May 2009]","                                            SEC14L4 (SEC14 Like Lipid Binding 4) is a Protein Coding gene.                                            Diseases associated with SEC14L4 include Cholestasis, Intrahepatic, Of Pregnancy 3.                                                                                        Gene Ontology (GO) annotations related to this gene include transporter activity and lipid binding.                                            An important paralog of this gene is SEC14L6.","Probable hydrophobic ligand-binding protein; may play a role in the transport of hydrophobic ligands like tocopherol, squalene and phospholipids.
                         S14L4_HUMAN,Q9UDX3
                         ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,2,1,1,1,0,0,1,0,6,0,10,5,0,0.0588235294117647,1.75,1.25,3.75,29.75,21.25,63.75
"ENSG00000133742","CA1","Carbonic anhydrases (CAs) are a large family of zinc metalloenzymes that catalyze the reversible hydration of carbon dioxide. They participate in a variety of biological processes, including respiration, calcification, acid-base balance, bone resorption, and the formation of aqueous humor, cerebrospinal fluid, saliva and gastric acid. They show extensive diversity in tissue distribution and in their subcellular localization. This CA1 gene is closely linked to the CA2 and CA3 genes on chromosome 8. It encodes a cytosolic protein that is found at the highest level in erythrocytes. Allelic variants of this gene have been described in some populations. Alternative splicing and the use of alternative promoters results in multiple transcript variants. [provided by RefSeq, Nov 2016]","                                            CA1 (Carbonic Anhydrase 1) is a Protein Coding gene.                                            Diseases associated with CA1 include Renal Tubular Acidosis and Transient Global Amnesia.                                            Among its related pathways are C-MYB transcription factor network and O2/CO2 exchange in erythrocytes.                                            Gene Ontology (GO) annotations related to this gene include carbonate dehydratase activity and hydro-lyase activity.                                            An important paralog of this gene is CA2.","Reversible hydration of carbon dioxide. Can hydrates cyanamide to urea.
                         CAH1_HUMAN,P00915
                         ",13,1,2,13,1,3,0,2,0,5,0,5,1,137,0,4,34,4,3,515,715,423,3,356,109,3,6,2991,152,3296,432,4672,2,4520,12.4705882352941,414,864.5,2406.5,33.1981132075472,69.3231132075472,192.974056603774
"ENSG00000137869","CYP19A1","This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This protein localizes to the endoplasmic reticulum and catalyzes the last steps of estrogen biosynthesis. Mutations in this gene can result in either increased or decreased aromatase activity; the associated phenotypes suggest that estrogen functions both as a sex steroid hormone and in growth or differentiation. Alternative promoter use and alternative splicing results in multiple transcript variants that have different tissue specificities. [provided by RefSeq, Dec 2016]","                                            CYP19A1 (Cytochrome P450 Family 19 Subfamily A Member 1) is a Protein Coding gene.                                            Diseases associated with CYP19A1 include Aromatase Deficiency and Aromatase Excess Syndrome.                                            Among its related pathways are Cytochrome P450 - arranged by substrate type and Androstenedione and testosterone biosynthesis and metabolism p.1.                                            Gene Ontology (GO) annotations related to this gene include iron ion binding and electron transfer activity.                                            An important paralog of this gene is CYP4F3.","A cytochrome P450 monooxygenase that catalyzes the conversion of C19 androgens, androst-4-ene-3,17-dione (androstenedione) and testosterone to the C18 estrogens, estrone and estradiol, respectively (PubMed:27702664, PubMed:2848247). Catalyzes three successive oxidations of C19 androgens: two conventional oxidations at C19 yielding 19-hydroxy and 19-oxo/19-aldehyde derivatives, followed by a third oxidative aromatization step that involves C1-beta hydrogen abstraction combined with cleavage of the C10-C19 bond to yield a phenolic A ring and formic acid (PubMed:20385561). Alternatively, the third oxidative reaction yields a 19-norsteroid and formic acid. Converts dihydrotestosterone to delta1,10-dehydro 19-nordihydrotestosterone and may play a role in homeostasis of this potent androgen (PubMed:22773874). Also displays 2-hydroxylase activity toward estrone (PubMed:22773874). Mechanistically, uses molecular oxygen inserting one oxygen atom into a substrate, and reducing the second into a water molecule, with two electrons provided by NADPH via cytochrome P450 reductase (CPR; NADPH-ferrihemoprotein reductase) (PubMed:20385561, PubMed:22773874).
                         CP19A_HUMAN,P11511
                         ",0,0,4,1,0,0,1,0,0,0,0,0,0,1,3,0,2,5,4,5,4,7,4,15,2,81,114,15,3,1,55,149,23,4,1,5,29.375,57.75,5,29.375,57.75
"ENSG00000138650","PCDH10","This gene belongs to the protocadherin gene family, a subfamily of the cadherin superfamily. This family member contains 6 extracellular cadherin domains, a transmembrane domain and a cytoplasmic tail differing from those of the classical cadherins. The encoded protein is a cadherin-related neuronal receptor thought to function in the establishment of specific cell-cell connections in the brain. This gene plays a role in inhibiting cancer cell motility and cell migration. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jan 2015]","                                            PCDH10 (Protocadherin 10) is a Protein Coding gene.                                            Diseases associated with PCDH10 include Epileptic Encephalopathy, Early Infantile, 9 and Epileptic Encephalopathy, Early Infantile, 6.                                                                                        Gene Ontology (GO) annotations related to this gene include calcium ion binding.                                            An important paralog of this gene is PCDH17.","Potential calcium-dependent cell-adhesion protein.
                         PCD10_HUMAN,Q9P2E7
                         ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,3,3,0,5,0,2,3,3,0,0,9,5,0,0.0588235294117647,2.25,2,3.5,38.25,34,59.5
"ENSG00000143416","SELENBP1","This gene encodes a member of the selenium-binding protein family. Selenium is an essential nutrient that exhibits potent anticarcinogenic properties, and deficiency of selenium may cause certain neurologic diseases. The effects of selenium in preventing cancer and neurologic diseases may be mediated by selenium-binding proteins, and decreased expression of this gene may be associated with several types of cancer. The encoded protein may play a selenium-dependent role in ubiquitination/deubiquitination-mediated protein degradation. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Apr 2012]","                                            SELENBP1 (Selenium Binding Protein 1) is a Protein Coding gene.                                            Diseases associated with SELENBP1 include Extraoral Halitosis Due To Methanethiol Oxidase Deficiency and Posteroinferior Myocardial Infarction.                                            Among its related pathways are IL1 and megakaryocytes in obesity and Metabolism.                                            Gene Ontology (GO) annotations related to this gene include selenium binding.                                            ","Catalyzes the oxidation of methanethiol, an organosulfur compound known to be produced in substantial amounts by gut bacteria (PubMed:29255262). Selenium-binding protein which may be involved in the sensing of reactive xenobiotics in the cytoplasm. May be involved in intra-Golgi protein transport (By similarity).
                         SBP1_HUMAN,Q13228
                         ",5,4,3,7,2,6,0,17,1,4,7,0,0,75,1,2,11,3,2,221,646,176,4,121,117,1,0,524,270,1673,149,2790,6,1254,8.41176470588235,261.25,338.75,1049.75,31.0576923076923,40.270979020979,124.795454545455
"ENSG00000146250","PRSS35","                                            PRSS35 (Serine Protease 35) is a Protein Coding gene.                                                                                                                                    Gene Ontology (GO) annotations related to this gene include serine-type endopeptidase activity.                                            An important paralog of this gene is PRSS23.","                                            PRSS35 (Serine Protease 35) is a Protein Coding gene.                                                                                                                                    Gene Ontology (GO) annotations related to this gene include serine-type endopeptidase activity.                                            An important paralog of this gene is PRSS23.","no summary",1,18,2,2,14,10,9,0,14,7,9,0,4,3,30,12,2,8,0,0,3,5,0,0,7,0,0,0,1,2,0,0,0,0,8.47058823529412,2,1.25,0,0.236111111111111,0.147569444444444,-7.47058823529412
"ENSG00000158578","ALAS2","The product of this gene specifies an erythroid-specific mitochondrially located enzyme. The encoded protein catalyzes the first step in the heme biosynthetic pathway. Defects in this gene cause X-linked pyridoxine-responsive sideroblastic anemia. Alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Jul 2008]","                                            ALAS2 (5'-Aminolevulinate Synthase 2) is a Protein Coding gene.                                            Diseases associated with ALAS2 include Anemia, Sideroblastic, 1 and Protoporphyria, Erythropoietic, X-Linked.                                            Among its related pathways are Porphyrin and chlorophyll metabolism and Metabolism.                                            Gene Ontology (GO) annotations related to this gene include pyridoxal phosphate binding and glycine binding.                                            An important paralog of this gene is ALAS1.","no summary",47,0,5,70,3,6,5,22,1,6,1,14,5,804,0,18,83,23,2,2641,6799,1216,10,1233,835,0,24,4667,2513,16806,1621,27287,7,9679,62.7058823529412,2664.5,3261,9648.5,42.4920262664165,52.0046904315197,153.8691369606
"ENSG00000163710","PCOLCE2","                                            PCOLCE2 (Procollagen C-Endopeptidase Enhancer 2) is a Protein Coding gene.                                            Diseases associated with PCOLCE2 include Fetal Akinesia Deformation Sequence 1.                                            Among its related pathways are Degradation of the extracellular matrix and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include heparin binding and metalloendopeptidase inhibitor activity.                                            An important paralog of this gene is PCOLCE.","                                            PCOLCE2 (Procollagen C-Endopeptidase Enhancer 2) is a Protein Coding gene.                                            Diseases associated with PCOLCE2 include Fetal Akinesia Deformation Sequence 1.                                            Among its related pathways are Degradation of the extracellular matrix and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include heparin binding and metalloendopeptidase inhibitor activity.                                            An important paralog of this gene is PCOLCE.","Binds to the C-terminal propeptide of types I and II procollagens and may enhance the cleavage of that propeptide by BMP1.
                         PCOC2_HUMAN,Q9UKZ9
                         ",2,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,3,1,2,1,0,3,14,4,1,0,27,34,20,3,0.352941176470588,1,3.125,21,2.83333333333333,8.85416666666667,59.5
"ENSG00000164821","DEFA4","Defensins are a family of antimicrobial and cytotoxic peptides thought to be involved in host defense. They are abundant in the granules of neutrophils and also found in the epithelia of mucosal surfaces such as those of the intestine, respiratory tract, urinary tract, and vagina. Members of the defensin family are highly similar in protein sequence and distinguished by a conserved cysteine motif. Several alpha defensin genes are clustered on chromosome 8. This gene differs from other genes of this family by an extra 83-base segment that is apparently the result of a recent duplication within the coding region. The protein encoded by this gene, defensin, alpha 4, is found in the neutrophils; it exhibits corticostatic activity and inhibits corticotropin stimulated corticosterone production. [provided by RefSeq, Oct 2014]","                                            DEFA4 (Defensin Alpha 4) is a Protein Coding gene.                                                                                        Among its related pathways are Transcriptional misregulation in cancer and Defensins.                                                                                        An important paralog of this gene is DEFA6.","Has antimicrobial activity against Gram-negative bacteria, and to a lesser extent also against Gram-positive bacteria and fungi. Protects blood cells against infection with HIV-1 (in vitro). Inhibits corticotropin (ACTH)-stimulated corticosterone production.
                         DEF4_HUMAN,P12838
                         ",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,6,2,1,0,1,0,3,0,0,9,2,10,0.0588235294117647,1,1.625,5.25,17,27.625,89.25
