"gene","EntrezSummary","GeneCardsSummary","UniProtKB_Summary","EnsemblGene","moderate1","moderate2","moderate3","moderate4","femModerate_mean","femHealthy_mean","femModHealthy_FoldChange"
"CLCNKB","The protein encoded by this gene is a member of the family of voltage-gated chloride channels. Chloride channels have several functions, including the regulation of cell volume, membrane potential stabilization, signal transduction and transepithelial transport. This gene is expressed predominantly in the kidney and may be important for renal salt reabsorption. Mutations in this gene are associated with autosomal recessive Bartter syndrome type 3 (BS3). Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Sep 2009]","                                            CLCNKB (Chloride Voltage-Gated Channel Kb) is a Protein Coding gene.                                            Diseases associated with CLCNKB include Bartter Syndrome, Type 3 and Bartter Syndrome, Type 4B, Neonatal, With Sensorineural Deafness.                                            Among its related pathways are Activation of cAMP-Dependent PKA and Insulin receptor recycling.                                            Gene Ontology (GO) annotations related to this gene include ion channel activity and voltage-gated chloride channel activity.                                            An important paralog of this gene is CLCNKA.","Voltage-gated chloride channel. Chloride channels have several functions including the regulation of cell volume; membrane potential stabilization, signal transduction and transepithelial transport. May be important in urinary concentrating mechanisms.
                         CLCKB_HUMAN,P51801
                         ","ENSG00000270620",0,0,0,0,0,0.222222222222222,0
"DNAJC11","                                            DNAJC11 (DnaJ Heat Shock Protein Family (Hsp40) Member C11) is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is DNAJC16.","                                            DNAJC11 (DnaJ Heat Shock Protein Family (Hsp40) Member C11) is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is DNAJC16.","[Isoform 1]: Required for mitochondrial inner membrane organization. Seems to function through its association with the MICOS complex and the mitochondrial outer membrane sorting assembly machinery (SAM) complex.
                         DJC11_HUMAN,Q9NVH1
                         ","ENSG00000237365",0,0,0,0,0,0.222222222222222,0
"ENSG00000179743","                                            ENSG00000179743  is an Uncategorized gene.                                                                                                                                                                                ","                                            ENSG00000179743  is an Uncategorized gene.                                                                                                                                                                                ","no summary","ENSG00000270620",0,0,0,0,0,0.222222222222222,0
"ENSG00000226849","                                            ENSG00000226849  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","                                            ENSG00000226849  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","no summary","ENSG00000270914",0,0,0,0,0,0.111111111111111,0
"ENSG00000227169","                                            ENSG00000227169  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","                                            ENSG00000227169  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","no summary","ENSG00000227169",0,0,0,0,0,0.111111111111111,0
"ENSG00000227775","                                            ENSG00000227775  is a Pseudogene.                                                                                                                                                                                ","                                            ENSG00000227775  is a Pseudogene.                                                                                                                                                                                ","no summary","ENSG00000272004",0,0,0,0,0,0.222222222222222,0
"ENSG00000231353","                                            ENSG00000231353  is a Pseudogene.                                                                                                                                                                                ","                                            ENSG00000231353  is a Pseudogene.                                                                                                                                                                                ","no summary","ENSG00000231353",0,0,0,0,0,0.222222222222222,0
"ENSG00000233078","                                            ENSG00000233078  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","                                            ENSG00000233078  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","no summary","ENSG00000231353",0,0,0,0,0,0.222222222222222,0
"ENSG00000233645","                                            ENSG00000233645  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","                                            ENSG00000233645  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","no summary","ENSG00000233645",0,0,0,0,0,0.111111111111111,0
"ENSG00000236266","                                            ENSG00000236266  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","                                            ENSG00000236266  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","no summary","ENSG00000270035",0,0,0,0,0,0.111111111111111,0
"ENSG00000237365","                                            ENSG00000237365  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","                                            ENSG00000237365  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","no summary","ENSG00000237365",0,0,0,0,0,0.222222222222222,0
"ENSG00000238290","                                            ENSG00000238290  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","                                            ENSG00000238290  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","no summary","ENSG00000233645",0,0,0,0,0,0.111111111111111,0
"ENSG00000253085","                                            ENSG00000253085  is an RNA Gene, and is affiliated with the scaRNA class.                                                                                                                                                                                ","                                            ENSG00000253085  is an RNA Gene, and is affiliated with the scaRNA class.                                                                                                                                                                                ","Small Cajal body specific RNA 11
                        RF00564
                        ","ENSG00000253085",0,0,0,0,0,0.222222222222222,0
"ENSG00000269925","                                            ENSG00000269925  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","                                            ENSG00000269925  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","no summary","ENSG00000270035",0,0,0,0,0,0.111111111111111,0
"ENSG00000270035","                                            ENSG00000270035  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","                                            ENSG00000270035  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","no summary","ENSG00000270035",0,0,0,0,0,0.111111111111111,0
"ENSG00000270171","                                            ENSG00000270171  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","                                            ENSG00000270171  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","no summary","ENSG00000270035",0,0,0,0,0,0.111111111111111,0
"ENSG00000270620","                                            ENSG00000270620  is a Pseudogene.                                                                                                                                                                                ","                                            ENSG00000270620  is a Pseudogene.                                                                                                                                                                                ","no summary","ENSG00000270620",0,0,0,0,0,0.222222222222222,0
"ENSG00000270914","                                            ENSG00000270914  is a Pseudogene.                                                                                                                                                                                ","                                            ENSG00000270914  is a Pseudogene.                                                                                                                                                                                ","no summary","ENSG00000270914",0,0,0,0,0,0.111111111111111,0
"ENSG00000271895","                                            ENSG00000271895  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","                                            ENSG00000271895  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","no summary","ENSG00000270914",0,0,0,0,0,0.111111111111111,0
"ENSG00000272004","                                            ENSG00000272004  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","                                            ENSG00000272004  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","no summary","ENSG00000272004",0,0,0,0,0,0.222222222222222,0
"ERRFI1","ERRFI1 is a cytoplasmic protein whose expression is upregulated with cell growth (Wick et al., 1995 [PubMed 7641805]). It shares significant homology with the protein product of rat gene-33, which is induced during cell stress and mediates cell signaling (Makkinje et al., 2000 [PubMed 10749885]; Fiorentino et al., 2000 [PubMed 11003669]).[supplied by OMIM, Mar 2008]","                                            ERRFI1 (ERBB Receptor Feedback Inhibitor 1) is a Protein Coding gene.                                            Diseases associated with ERRFI1 include Endometrial Disease and Progesterone Resistance.                                            Among its related pathways are EGF/EGFR Signaling Pathway and Tyrosine Kinases / Adaptors.                                            Gene Ontology (GO) annotations related to this gene include protein kinase binding and kinase binding.                                            ","Negative regulator of EGFR signaling in skin morphogenesis. Acts as a negative regulator for several EGFR family members, including ERBB2, ERBB3 and ERBB4. Inhibits EGFR catalytic activity by interfering with its dimerization. Inhibits autophosphorylation of EGFR, ERBB2 and ERBB4. Important for normal keratinocyte proliferation and differentiation. Plays a role in modulating the response to steroid hormones in the uterus. Required for normal response to progesterone in the uterus and for fertility. Mediates epithelial estrogen responses in the uterus by regulating ESR1 levels and activation. Important for regulation of endometrium cell proliferation. Important for normal prenatal and perinatal lung development (By similarity).
                         ERRFI_HUMAN,Q9UJM3
                         ","ENSG00000233645",0,0,0,0,0,0.111111111111111,0
"EXOSC10","                                            EXOSC10 (Exosome Component 10) is a Protein Coding gene.                                            Diseases associated with EXOSC10 include Diffuse Scleroderma and Systemic Scleroderma.                                            Among its related pathways are rRNA processing in the nucleus and cytosol and ATP/ITP metabolism.                                            Gene Ontology (GO) annotations related to this gene include nucleic acid binding and nucleotide binding.                                            An important paralog of this gene is EXD1.","                                            EXOSC10 (Exosome Component 10) is a Protein Coding gene.                                            Diseases associated with EXOSC10 include Diffuse Scleroderma and Systemic Scleroderma.                                            Among its related pathways are rRNA processing in the nucleus and cytosol and ATP/ITP metabolism.                                            Gene Ontology (GO) annotations related to this gene include nucleic acid binding and nucleotide binding.                                            An important paralog of this gene is EXD1.","Putative catalytic component of the RNA exosome complex which has 3'->5' exoribonuclease activity and participates in a multitude of cellular RNA processing and degradation events. In the nucleus, the RNA exosome complex is involved in proper maturation of stable RNA species such as rRNA, snRNA and snoRNA, in the elimination of RNA processing by-products and non-coding 'pervasive' transcripts, such as antisense RNA species and promoter-upstream transcripts (PROMPTs), and of mRNAs with processing defects, thereby limiting or excluding their export to the cytoplasm. The RNA exosome may be involved in Ig class switch recombination (CSR) and/or Ig variable region somatic hypermutation (SHM) by targeting AICDA deamination activity to transcribed dsDNA substrates. In the cytoplasm, the RNA exosome complex is involved in general mRNA turnover and specifically degrades inherently unstable mRNAs containing AU-rich elements (AREs) within their 3' untranslated regions, and in RNA surveillance pathways, preventing translation of aberrant mRNAs. It seems to be involved in degradation of histone mRNA. EXOSC10 has 3'-5' exonuclease activity (By similarity). EXOSC10 is required for nucleolar localization of C1D and probably mediates the association of MTREX, C1D and MPP6 wth the RNA exosome involved in the maturation of 5.8S rRNA.
                         EXOSX_HUMAN,Q01780
                         ","ENSG00000270914",0,0,0,0,0,0.111111111111111,0
"FBLIM1","This gene encodes a protein with an N-terminal filamin-binding domain, a central proline-rich domain, and, multiple C-terminal LIM domains. This protein localizes at cell junctions and may link cell adhesion structures to the actin cytoskeleton. This protein may be involved in the assembly and stabilization of actin-filaments and likely plays a role in modulating cell adhesion, cell morphology and cell motility. This protein also localizes to the nucleus and may affect cardiomyocyte differentiation after binding with the CSX/NKX2-5 transcription factor. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jul 2008]","                                            FBLIM1 (Filamin Binding LIM Protein 1) is a Protein Coding gene.                                            Diseases associated with FBLIM1 include Chronic Recurrent Multifocal Osteomyelitis and Kindler Syndrome.                                            Among its related pathways are ERK Signaling and Cell junction organization.                                            Gene Ontology (GO) annotations related to this gene include filamin binding.                                            An important paralog of this gene is LPP.","Serves as an anchoring site for cell-ECM adhesion proteins and filamin-containing actin filaments. Is implicated in cell shape modulation (spreading) and motility. May participate in the regulation of filamin-mediated cross-linking and stabilization of actin filaments. May also regulate the assembly of filamin-containing signaling complexes that control actin assembly. Promotes dissociation of FLNA from ITGB3 and ITGB7. Promotes activation of integrins and regulates integrin-mediated cell-cell adhesion.
                         FBLI1_HUMAN,Q8WUP2
                         ","ENSG00000270620",0,0,0,0,0,0.222222222222222,0
"FJ601661","                                            FJ601661  is an RNA Gene, and is affiliated with the miRNA class.                                                                                                                                                                                ","                                            FJ601661  is an RNA Gene, and is affiliated with the miRNA class.                                                                                                                                                                                ","no summary","ENSG00000270035",0,0,0,0,0,0.111111111111111,0
"FJ601684-002","                                            FJ601684-002  is an RNA Gene, and is affiliated with the miRNA class.                                                                                                                                                                                ","                                            FJ601684-002  is an RNA Gene, and is affiliated with the miRNA class.                                                                                                                                                                                ","no summary","ENSG00000270035",0,0,0,0,0,0.111111111111111,0
"HSALNG0000557","                                            HSALNG0000557  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","                                            HSALNG0000557  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","no summary","ENSG00000237365",0,0,0,0,0,0.222222222222222,0
"HSALNG0000558","                                            HSALNG0000558  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","                                            HSALNG0000558  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","no summary","ENSG00000237365",0,0,0,0,0,0.222222222222222,0
"HSPB7","This gene encodes a small heat shock family B member that can heterodimerize with similar heat shock proteins. Defects in this gene are associated with advanced heart failure. In addition, the encoded protein may be a tumor suppressor in the p53 pathway, with defects in this gene being associated with renal cell carcinoma. [provided by RefSeq, Mar 2017]","                                            HSPB7 (Heat Shock Protein Family B (Small) Member 7) is a Protein Coding gene.                                            Diseases associated with HSPB7 include Central Sleep Apnea and Systolic Heart Failure.                                            Among its related pathways are Differentiation of white and brown adipocyte.                                            Gene Ontology (GO) annotations related to this gene include protein C-terminus binding and filamin binding.                                            An important paralog of this gene is CRYAB.","no summary","ENSG00000270620",0,0,0,0,0,0.222222222222222,0
"HSPB7","This gene encodes a small heat shock family B member that can heterodimerize with similar heat shock proteins. Defects in this gene are associated with advanced heart failure. In addition, the encoded protein may be a tumor suppressor in the p53 pathway, with defects in this gene being associated with renal cell carcinoma. [provided by RefSeq, Mar 2017]","                                            HSPB7 (Heat Shock Protein Family B (Small) Member 7) is a Protein Coding gene.                                            Diseases associated with HSPB7 include Central Sleep Apnea and Systolic Heart Failure.                                            Among its related pathways are Differentiation of white and brown adipocyte.                                            Gene Ontology (GO) annotations related to this gene include protein C-terminus binding and filamin binding.                                            An important paralog of this gene is CRYAB.","no summary","ENSG00000231353",0,0,0,0,0,0.222222222222222,0
"KAZN","This gene encodes a protein that plays a role in desmosome assembly, cell adhesion, cytoskeletal organization, and epidermal differentiation. This protein co-localizes with desmoplakin and the cytolinker protein periplakin. In general, this protein localizes to the nucleus, desmosomes, cell membrane, and cortical actin-based structures. Some isoforms of this protein also associate with microtubules. Alternative splicing results in multiple transcript variants encoding distinct isoforms. Additional splice variants have been described but their biological validity has not been verified. [provided by RefSeq, Aug 2011]","                                            KAZN (Kazrin, Periplakin Interacting Protein) is a Protein Coding gene.                                            Diseases associated with KAZN include Vohwinkel Syndrome.                                            Among its related pathways are Keratinization and Developmental Biology.                                                                                        ","Component of the cornified envelope of keratinocytes. May be involved in the interplay between adherens junctions and desmosomes. The function in the nucleus is not known.
                         KAZRN_HUMAN,Q674X7
                         ","ENSG00000253085",0,0,0,0,0,0.222222222222222,0
"KIAA2013","                                            KIAA2013 (KIAA2013) is a Protein Coding gene.                                                                                                                                                                                ","                                            KIAA2013 (KIAA2013) is a Protein Coding gene.                                                                                                                                                                                ","no summary","ENSG00000270914",0,0,0,0,0,0.111111111111111,0
"KR153194-003","                                            KR153194-003  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","                                            KR153194-003  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","no summary","ENSG00000253085",0,0,0,0,0,0.222222222222222,0
"LINC01672","                                            LINC01672 (Long Intergenic Non-Protein Coding RNA 1672) is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","                                            LINC01672 (Long Intergenic Non-Protein Coding RNA 1672) is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","no summary","ENSG00000228750",0,0,0,0,0,0.444444444444444,0
"LINC01714","                                            LINC01714 (Long Intergenic Non-Protein Coding RNA 1714) is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","                                            LINC01714 (Long Intergenic Non-Protein Coding RNA 1714) is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","no summary","ENSG00000233645",0,0,0,0,0,0.111111111111111,0
"LINC01714","                                            LINC01714 (Long Intergenic Non-Protein Coding RNA 1714) is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","                                            LINC01714 (Long Intergenic Non-Protein Coding RNA 1714) is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","no summary","ENSG00000237365",0,0,0,0,0,0.222222222222222,0
"LOC105376689","                                            LOC105376689 (Uncharacterized LOC105376689) is an RNA Gene, and is affiliated with the ncRNA class.                                                                                                                                                                                ","                                            LOC105376689 (Uncharacterized LOC105376689) is an RNA Gene, and is affiliated with the ncRNA class.                                                                                                                                                                                ","no summary","ENSG00000270035",0,0,0,0,0,0.111111111111111,0
"LOC105376692","                                            LOC105376692 (Uncharacterized LOC105376692) is an RNA Gene, and is affiliated with the ncRNA class.                                                                                                                                                                                ","                                            LOC105376692 (Uncharacterized LOC105376692) is an RNA Gene, and is affiliated with the ncRNA class.                                                                                                                                                                                ","no summary","ENSG00000237365",0,0,0,0,0,0.222222222222222,0
"MFN2","This gene encodes a mitochondrial membrane protein that participates in mitochondrial fusion and contributes to the maintenance and operation of the mitochondrial network. This protein is involved in the regulation of vascular smooth muscle cell proliferation, and it may play a role in the pathophysiology of obesity. Mutations in this gene cause Charcot-Marie-Tooth disease type 2A2, and hereditary motor and sensory neuropathy VI, which are both disorders of the peripheral nervous system. Defects in this gene have also been associated with early-onset stroke. Two transcript variants encoding the same protein have been identified. [provided by RefSeq, Jul 2008]","                                            MFN2 (Mitofusin 2) is a Protein Coding gene.                                            Diseases associated with MFN2 include Neuropathy, Hereditary Motor And Sensory, Type Via, With Optic Atrophy and Charcot-Marie-Tooth Disease, Axonal, Autosomal Dominant, Type 2A2a.                                            Among its related pathways are Response to elevated platelet cytosolic Ca2+ and Mitophagy - animal.                                            Gene Ontology (GO) annotations related to this gene include GTP binding and ubiquitin protein ligase binding.                                            An important paralog of this gene is MFN1.","Mitochondrial outer membrane GTPase that mediates mitochondrial clustering and fusion (PubMed:11181170, PubMed:11950885, PubMed:28114303). Mitochondria are highly dynamic organelles, and their morphology is determined by the equilibrium between mitochondrial fusion and fission events (PubMed:28114303). Overexpression induces the formation of mitochondrial networks (PubMed:28114303). Membrane clustering requires GTPase activity and may involve a major rearrangement of the coiled coil domains (Probable). Plays a central role in mitochondrial metabolism and may be associated with obesity and/or apoptosis processes (By similarity). Plays an important role in the regulation of vascular smooth muscle cell proliferation (By similarity). Involved in the clearance of damaged mitochondria via selective autophagy (mitophagy) (PubMed:23620051). Is required for PRKN recruitment to dysfunctional mitochondria (PubMed:23620051). Involved in the control of unfolded protein response (UPR) upon ER stress including activation of apoptosis and autophagy during ER stress (By similarity). Acts as an upstream regulator of EIF2AK3 and suppresses EIF2AK3 activation under basal conditions (By similarity).
                         MFN2_HUMAN,O95140
                         ","ENSG00000270914",0,0,0,0,0,0.111111111111111,0
"MIIP","This gene encodes a protein that interacts with the oncogene protein insulin-like growth factor binding protein 2 and may function as an inhibitor of cell migration and invasion. This protein also interacts with the cell division protein 20 and may be involved in regulating mitotic progression. This protein may function as a tumor suppressor by inhibiting the growth or certain cancers. [provided by RefSeq, Sep 2011]","                                            MIIP (Migration And Invasion Inhibitory Protein) is a Protein Coding gene.                                            Diseases associated with MIIP include Prolapse Of Urethra and Glioma.                                                                                                                                    ","Inhibits glioma cells invasion and down-regulates adhesion- and motility-associated genes such as NFKB2 and ICAM1. Exhibits opposing effects to IGFBP2 on cell invasion.
                         MIIP_HUMAN,Q5JXC2
                         ","ENSG00000270914",0,0,0,0,0,0.111111111111111,0
"MIR1302-2HG","                                            MIR1302-2HG (MIR1302-2 Host Gene) is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","                                            MIR1302-2HG (MIR1302-2 Host Gene) is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ","microRNA mir-1302
                        RF00951
                        ","ENSG00000243485",0,0,0,0,0,0.111111111111111,0
"ENSG00000277856","                                            ENSG00000277856  is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is IGHV3-43.","                                            ENSG00000277856  is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is IGHV3-43.","no summary","ENSG00000277856",174,920,2460,704,1064.5,69.7777777777778,15.2555732484076
